,,Republican,Democratic,Approval Voting,Unity Party of Colorado,Unaffiliated,Total Votes Cast,Total Ballots Cast
Precinct,8236462201,824,407,13,3,0,1247,1247
Precinct,8236462202,943,482,30,22,0,1477,1477
Precinct,8236462203,777,329,12,10,0,1128,1128
Precinct,8236462204,868,439,23,10,0,1340,1340
Precinct,8236462205,504,264,8,5,0,781,781
Precinct,8236462206,786,326,12,11,0,1135,1135
Precinct,8236462207,587,378,11,11,0,987,987
Precinct,8236462208,827,535,35,12,0,1409,1409
Precinct,8236462209,837,478,19,10,0,1344,1344
Precinct,8236462210,968,462,15,7,0,1452,1452
Precinct,8236462211,823,413,23,10,0,1269,1269
Precinct,8236462212,739,302,21,9,0,1071,1071
Precinct,8236462213,519,265,10,12,0,806,806
Precinct,8236462214,468,285,18,8,0,779,779
Precinct,8236462215,563,235,20,12,0,830,830
Precinct,8236562156,114,14,6,1,0,135,135
Precinct,8236562259,265,82,6,1,0,354,354
