,,Democratic,Republican,Libertarian,Green,Unaffiliated,American Constitution,Unity Party of Colorado,American Solidarity,Unaffiliated,Socialism/Liberation,Independent American,Alliance,Unaffiliated,Unaffiliated,Prohibition,Unaffiliated,Progressive,Approval Voting,Socialist Workers,Socialist Equality,Unaffiliated,Unaffiliated/No Party Affiliation,Independent,No Party Affiliation,Total Votes Cast,Total Ballots Cast
Precinct,6255601161,119,216,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,340,340
Precinct,6255601162,330,604,5,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,944
Precinct,6255601163,190,386,11,5,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,597
Precinct,6255601164,180,308,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,496,496
Precinct,6255601165,770,840,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1618,1618
Precinct,6255601166,133,326,6,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473,473
Precinct,6255601167,206,363,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577,577
Precinct,6255601168,329,362,11,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,707,707
Precinct,6255601169,165,297,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,472,472
Precinct,6255601170,612,453,15,3,4,5,2,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1098,1098
Precinct,6255601171,623,540,19,2,5,2,4,0,1,4,4,0,1,0,0,0,1,0,1,0,1,0,0,0,1208,1208
Precinct,6255601172,121,125,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,249
Precinct,6255601173,32,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,81
Precinct,6255601174,159,288,7,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,462,462
Precinct,6255601175,540,712,25,2,3,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1295,1295
Precinct,6255601176,179,271,7,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,463,463
Precinct,6255601177,174,311,10,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,503
Precinct,6255601178,24,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42
Precinct,6255601179,47,49,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,98
Precinct,6255601180,385,512,22,2,3,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,931,931
Precinct,6255601181,531,596,19,2,5,0,1,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1161,1161
Precinct,6255601182,340,397,14,1,4,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,760,760
Precinct,6255601183,139,181,11,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,336,336
Precinct,6255601184,133,167,5,2,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,312,312
Precinct,6255601185,233,331,10,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,579,579
Precinct,6255601186,512,612,11,6,3,1,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1153,1153
Precinct,6255601187,430,464,16,1,2,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,920,920
Precinct,6255601188,305,422,11,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740,740
Precinct,6255601189,290,421,10,3,2,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,731,731
Precinct,6255601190,432,594,20,4,3,2,3,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1062,1062
Precinct,6255601191,656,600,18,2,7,3,0,1,1,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1294,1294
Precinct,6255601192,453,308,8,1,7,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,782,782
Precinct,6255601193,536,469,24,4,8,2,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1048,1048
Precinct,6255601194,171,223,11,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,409
Precinct,6255601195,218,242,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,468
Precinct,6255601196,89,82,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,179
Precinct,6255601197,149,159,8,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,320
Precinct,6255601198,288,464,6,3,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,765,765
Precinct,6255601227,106,223,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,334
Precinct,6255601228,295,586,8,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,897
Precinct,6255601244,183,647,6,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,845,845
Precinct,7213001130,146,106,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,260
Precinct,7213001140,372,255,9,1,3,0,1,0,1,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,647,647
Precinct,7213001141,654,423,21,6,9,1,1,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1121,1121
Precinct,7213001199,347,409,7,3,3,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,773,773
Precinct,7213001200,26,84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,114
Precinct,7213001201,224,211,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,442
Precinct,7213001202,286,295,7,2,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,597,597
Precinct,7213001203,296,335,8,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645,645
Precinct,7213001204,344,297,8,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656,656
Precinct,7213001205,618,569,15,7,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1220,1220
Precinct,7213001206,613,619,19,3,3,1,1,0,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1266,1266
Precinct,7213001207,353,290,10,5,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,665,665
Precinct,7213001210,924,716,31,6,1,3,2,0,1,2,2,1,0,1,0,3,0,0,0,0,0,0,0,0,1693,1693
Precinct,7213001211,181,198,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,383
Precinct,7213001212,346,308,14,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,672,672
Precinct,7213001213,521,313,26,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,866,866
Precinct,7213001214,580,432,16,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038,1038
Precinct,7213001215,503,592,26,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,1130
Precinct,7213001225,70,122,5,0,2,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,203,203
