,,Democratic,Republican,Libertarian,Green,Unaffiliated,American Constitution,Unity Party of Colorado,American Solidarity,Unaffiliated,Socialism/Liberation,Independent American,Alliance,Unaffiliated,Unaffiliated,Prohibition,Unaffiliated,Progressive,Approval Voting,Socialist Workers,Socialist Equality,Unaffiliated,Unaffiliated/No Party Affiliation,Independent,No Party Affiliation,Total Votes Cast,Total Ballots Cast
Precinct,4171207602,474,296,11,3,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790,790
Precinct,4171207603,812,454,15,3,2,3,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1295,1295
Precinct,4171207604,510,354,17,1,3,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,892,892
Precinct,4171207605,669,304,17,2,2,3,2,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1004,1004
Precinct,4171207606,593,269,9,3,0,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,880,880
Precinct,4171207607,651,271,25,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952,952
Precinct,4171207608,580,240,6,5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835,835
Precinct,4171207609,334,121,9,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,470,470
Precinct,4171207610,874,355,25,1,4,1,3,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1268,1268
Precinct,4171207611,744,260,20,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,1029
Precinct,4171207612,699,283,26,1,1,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1016,1016
Precinct,4171207613,519,231,11,5,2,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,774,774
Precinct,4171207614,979,381,16,4,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1386,1386
Precinct,4171207615,592,193,7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,795,795
Precinct,4171207656,722,157,10,2,7,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,902,902
Precinct,4171207657,736,419,15,3,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1178,1178
Precinct,4181107706,119,60,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,182,182
Precinct,4181107707,305,288,13,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613,613
Precinct,4181107708,262,345,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,617,617
County,Broomfield,29077,16295,772,104,106,74,46,50,23,14,10,8,13,13,6,2,5,2,7,1,4,0,0,0,46632,46632
Precinct,2233364001,1030,483,17,5,6,3,2,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1551,1551
Precinct,2233364002,1496,506,51,3,9,2,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2074,2074
Precinct,2233364003,1181,386,36,2,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1611,1611
Precinct,2233364004,983,510,23,5,5,2,2,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1535,1535
Precinct,2233364005,53,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,74
Precinct,2233364006,1468,441,54,9,7,1,4,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1991,1991
Precinct,2233364007,538,222,19,7,2,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,792,792
Precinct,2233364008,383,214,8,3,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613,613
Precinct,2233364009,490,275,13,1,0,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,785,785
Precinct,2233364010,626,407,15,2,6,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1062,1062
Precinct,2233364011,638,376,27,1,0,2,1,4,2,1,2,0,1,0,0,0,0,0,1,0,1,0,0,0,1057,1057
Precinct,2233364012,660,441,11,1,1,4,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1122,1122
Precinct,2233364013,574,259,17,3,2,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,863,863
Precinct,2233364014,570,339,13,2,2,5,2,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,940,940
Precinct,2233364015,623,419,10,6,0,2,1,1,1,2,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1069,1069
Precinct,2233364016,577,464,15,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060,1060
Precinct,2233364017,812,626,25,2,6,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1478,1478
Precinct,2233364018,498,265,16,1,1,2,1,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,791,791
Precinct,2233364019,728,393,24,6,3,3,3,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1164,1164
Precinct,2233364020,502,344,14,4,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,868,868
Precinct,2233364021,1080,549,30,6,5,2,2,2,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1681,1681
Precinct,2233364022,774,449,13,2,1,4,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1249,1249
Precinct,2233364023,648,365,10,1,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1031,1031
Precinct,2233364024,1166,719,39,1,6,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1938,1938
Precinct,2233364025,1135,653,35,2,3,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1834,1834
Precinct,2233364026,673,440,16,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,1134
Precinct,2233364027,881,480,26,2,4,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1398,1398
Precinct,2233364028,244,186,6,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,441,441
Precinct,2233364029,688,445,17,5,3,3,1,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1167,1167
Precinct,2233364030,570,402,18,3,6,0,2,2,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,1008,1008
Precinct,2233364031,537,373,21,3,0,2,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,941,941
Precinct,2233364032,1294,753,38,1,0,5,2,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2098,2098
Precinct,2233364033,1023,540,22,3,1,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1595,1595
Precinct,2233364034,230,368,7,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,610
Precinct,2233364035,1401,703,13,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2124,2124
Precinct,2233364036,1649,1017,38,4,9,1,4,5,3,0,1,2,0,3,1,0,0,0,0,0,0,0,0,0,2737,2737
Precinct,2233364037,654,463,15,4,3,1,1,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1146,1146
County,Chaffee,7160,6222,189,46,22,20,10,14,11,2,3,2,3,1,3,4,1,2,1,0,1,1,0,0,13718,13718
Precinct,5056008001,630,678,24,2,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1343,1343
Precinct,5056008002,731,995,27,5,5,2,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1771,1771
Precinct,5056008003,945,1068,45,13,3,3,2,4,3,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,2090,2090
Precinct,5056008004,418,596,8,1,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1028,1028
Precinct,5056008005,827,846,18,1,1,5,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1702,1702
Precinct,5056008006,937,817,19,7,3,3,2,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1793,1793
Precinct,5056008007,901,472,17,6,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1402,1402
Precinct,5056008008,984,337,17,5,3,1,2,0,1,2,1,1,0,0,0,1,0,2,0,0,0,0,0,0,1357,1357
Precinct,5056008009,787,413,14,6,5,1,2,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1232,1232
County,Cheyenne,131,993,6,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,1136
Precinct,4016509001,8,110,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120
Precinct,4016509002,39,280,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,323
Precinct,4016509003,32,336,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,372
Precinct,4016509004,41,215,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,258
Precinct,4016509005,11,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,63
County,Clear Creek,3604,2754,113,23,10,10,3,5,7,2,1,2,3,0,3,1,5,1,0,1,0,0,0,0,6548,6548
Precinct,2021310001,563,326,17,8,1,3,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,923,923
Precinct,2021310002,167,140,11,2,2,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,327,327
Precinct,2021310003,200,187,3,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,394,394
Precinct,2021310004,443,356,15,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,821,821
Precinct,2021310005,391,305,9,5,1,1,2,1,2,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,721,721
Precinct,2021310006,263,163,14,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,446,446
Precinct,2021310007,623,514,19,5,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1167,1167
Precinct,2021310008,402,293,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703,703
Precinct,2021310009,552,470,20,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046,1046
County,Conejos,1959,2286,34,9,10,15,1,2,5,2,0,4,2,0,1,2,0,0,0,1,0,0,0,0,4333,4333
Precinct,3356211001,281,83,6,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,377,377
Precinct,3356211002,205,238,2,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,450
Precinct,3356211003,196,165,5,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,372,372
Precinct,3356211004,271,116,4,0,2,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,399,399
Precinct,3356211005,204,225,7,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,441
Precinct,3356211006,212,378,1,1,2,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,599,599
Precinct,3356211007,129,168,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,299
Precinct,3356211008,150,485,3,2,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,646,646
Precinct,3356211009,140,237,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,383
Precinct,3356211010,171,191,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,367
County,Costilla,1311,741,15,4,5,8,2,0,2,1,1,1,0,0,0,0,1,0,0,2,0,0,0,0,2094,2094
Precinct,3356212001,157,33,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,195
Precinct,3356212002,161,48,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,212,212
Precinct,3356212003,114,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,153
Precinct,3356212004,183,54,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,239,239
Precinct,3356212005,85,80,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,170
Precinct,3356212006,70,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100,100
Precinct,3356212007,342,269,8,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,624,624
Precinct,3356212008,199,191,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,401,401
County,Crowley,437,1271,22,0,8,3,3,0,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1750,1750
Precinct,4356413001,101,272,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,379
Precinct,4356413002,67,217,5,0,3,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,297,297
Precinct,4356413003,71,174,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,250
Precinct,4356413004,56,211,5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,275,275
Precinct,4356413005,74,202,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,281
Precinct,4356413006,68,195,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,268
County,Custer,1112,2474,29,5,0,5,4,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3635,3635
Precinct,3356014001,556,1273,17,1,0,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1856,1856
Precinct,3356014002,117,294,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,416
Precinct,3356014003,439,907,10,2,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1363,1363
County,Delta,5887,13081,218,45,32,34,11,6,12,2,7,3,4,5,5,2,4,9,1,1,1,0,0,0,19370,19370
Precinct,3055415001,170,947,7,1,2,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1132,1132
Precinct,3055415002,140,524,10,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,680,680
Precinct,3055415003,202,424,9,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,641
Precinct,3055415004,294,672,24,1,3,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1000,1000
Precinct,3055415005,235,479,13,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,732,732
Precinct,3055415006,247,698,10,1,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962,962
Precinct,3055415007,237,772,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1017,1017
Precinct,3056115008,187,949,15,1,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1160,1160
Precinct,3056115009,275,868,14,1,1,0,2,0,0,0,5,1,2,1,0,0,0,3,0,0,0,0,0,0,1173,1173
Precinct,3056115010,225,758,9,1,0,3,1,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1002,1002
Precinct,3056115011,347,615,9,3,0,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,981,981
Precinct,3056115012,204,555,6,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770,770
Precinct,3056115013,216,681,9,0,1,3,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,914,914
Precinct,3056115014,350,739,9,3,3,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1108,1108
Precinct,3056115015,391,828,21,3,2,1,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1251,1251
Precinct,3056115016,304,672,13,5,2,3,1,2,1,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,1009,1009
Precinct,3056115017,304,612,6,3,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,929,929
Precinct,3056115018,513,566,8,7,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,1100
Precinct,3056115019,479,269,13,8,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772,772
Precinct,3056115020,567,453,9,4,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1037,1037
County,Denver,313293,71618,4870,1230,976,314,222,242,181,287,70,60,34,60,63,87,49,55,61,39,16,2,0,0,393829,393829
Precinct,1160116112,669,346,16,3,1,0,6,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1048,1048
Precinct,1160116113,619,294,12,0,1,2,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,933,933
Precinct,1160116114,751,346,15,4,3,3,0,0,2,0,0,2,0,2,0,1,0,2,1,1,0,0,0,0,1133,1133
Precinct,1160116120,867,392,22,3,6,2,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1298,1298
Precinct,1160116122,696,420,10,3,1,2,0,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1140,1140
Precinct,1160116123,625,528,11,2,4,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,1175
Precinct,1160116124,594,469,24,2,2,3,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1100,1100
Precinct,1160116125,686,483,20,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1196,1196
Precinct,1160116126,836,490,27,4,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1362,1362
Precinct,1160116127,924,528,16,2,4,7,0,1,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,1488,1488
Precinct,1160116128,505,390,11,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,912,912
Precinct,1160116129,440,330,6,2,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,782,782
Precinct,1160116130,648,374,9,5,1,3,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045,1045
Precinct,1160116131,668,405,21,5,3,3,1,2,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1113,1113
Precinct,1160116132,672,534,16,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1226,1226
Precinct,1310216204,1245,109,15,11,8,2,1,1,0,6,0,0,0,2,0,0,1,0,3,1,0,0,0,0,1405,1405
Precinct,1310216205,1109,100,14,8,2,0,1,0,0,7,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1245,1245
Precinct,1310216206,1379,141,16,4,4,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1550,1550
Precinct,1310216207,1049,139,15,6,4,0,1,0,2,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1222,1222
Precinct,1310216208,1078,73,16,14,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,1187
Precinct,1310216209,943,111,17,5,3,2,1,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1088,1088
Precinct,1310216210,1064,87,15,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1178,1178
Precinct,1310216211,908,74,12,2,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1001,1001
Precinct,1310516530,73,16,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,94
Precinct,1310616605,720,110,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,838,838
Precinct,1310616606,832,107,8,1,1,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956,956
Precinct,1310616607,597,102,6,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708,708
Precinct,1310616609,241,59,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,305
Precinct,1310616610,319,42,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,367
Precinct,1310616611,635,97,8,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746,746
Precinct,1310616612,908,160,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1083,1083
Precinct,1310616613,912,181,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1111,1111
Precinct,1310616614,570,108,10,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694,694
Precinct,1310616615,761,161,8,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,935,935
Precinct,1310616617,658,298,7,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968,968
Precinct,1310616618,582,283,8,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882,882
Precinct,1310616619,767,365,16,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1152,1152
Precinct,1310616622,877,239,8,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,1127
Precinct,1310616623,916,292,9,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224,1224
Precinct,1310616624,933,268,8,2,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1219,1219
Precinct,1310616625,648,149,6,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808,808
Precinct,1310616626,711,154,9,4,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,886,886
Precinct,1310616627,816,256,12,5,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1094,1094
Precinct,1310616628,1057,250,22,7,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1341,1341
Precinct,1310616629,997,294,12,2,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,1311
Precinct,1310616630,594,154,9,2,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,767,767
Precinct,1310616631,1335,253,20,2,2,0,0,2,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1619,1619
Precinct,1310616641,995,302,17,5,7,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1331,1331
Precinct,1310616642,705,282,9,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,1003
Precinct,1310616643,612,124,12,4,7,0,0,1,1,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,766,766
Precinct,1310616644,721,279,4,0,2,2,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1013,1013
Precinct,1310616645,696,250,4,1,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,958,958
Precinct,1310616646,965,254,12,1,2,4,1,1,4,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1248,1248
Precinct,1310616647,848,249,15,2,4,1,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1125,1125
Precinct,1310616648,924,215,22,4,1,1,0,0,1,0,1,0,0,2,0,0,1,3,0,0,0,0,0,0,1175,1175
Precinct,1310616649,1155,325,12,2,6,1,1,2,1,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1511,1511
Precinct,1310616650,731,246,7,5,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,993,993
Precinct,1310616651,975,266,28,5,3,0,0,0,1,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1284,1284
Precinct,1310616652,713,293,4,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1014,1014
Precinct,1310816841,1008,79,18,6,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1118,1118
Precinct,1310816842,761,98,11,4,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881,881
Precinct,1310816843,954,75,17,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052,1052
Precinct,1310816844,1047,114,20,5,2,1,1,0,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1196,1196
Precinct,1310816845,934,88,6,5,4,1,0,1,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1045,1045
Precinct,1310816846,893,92,18,6,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1017,1017
Precinct,1310816848,1023,108,6,5,3,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1150,1150
Precinct,1310816849,1093,103,15,9,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226,1226
Precinct,1310816850,902,120,7,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1034,1034
Precinct,1310816851,1072,114,17,11,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1221,1221
Precinct,1310816852,830,92,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,930
Precinct,1310816853,779,126,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,914
Precinct,1310816854,870,138,12,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1026,1026
Precinct,1310816855,536,78,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,628,628
Precinct,1310816856,1453,209,21,7,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1697,1697
Precinct,1310916901,1127,223,24,13,4,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1398,1398
Precinct,1310916903,985,229,23,1,0,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1245,1245
Precinct,1310916904,930,215,12,2,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,1164
Precinct,1310916905,241,45,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,291
Precinct,1310916906,839,266,12,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121,1121
Precinct,1310916908,895,276,14,6,0,2,1,1,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1201,1201
Precinct,1310916909,932,266,14,0,3,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1221,1221
Precinct,1310916910,1131,289,27,4,0,1,0,0,4,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1460,1460
